Contract,Project Name,Location,PE,Inv No.,Date Invoice Created,Date Project Completions handed over,PC Request Date Submitted,Variation Request submitted,Variation Approval,PC Due,Payment Date,Month Claimed,Actual Payment Date,Maximo work order,FSAM/MPS,Suburb,CSPO Amount,Variation,Total Revenue,GST Inc,DJC Cost,Internal DJC Cost,Total Cost,Margin,%,NBN PO/PM,Project Quote Submitted,Project Award Date,Days to Award,Customer required date,Difference CRD to Award
A417 New Devs,A417 Greenfield MDU,Sydney West,Dane Harrington,,,17/05/2019,24/05/2019,,,07/06/2019,21/06/2019,May-19,Jun-19,,"MW21728-AYCA-4HTS7R-2RIV-03-875 RICHMOND RD, MARSDEN PARK",Marsden Park,$731.99,,$731.99, $	805.19 ,"$6,414.32",,"$6,414.32","-$5,682.33",-776%,Ertan Cicek ,Direct Award,09/01/2018,,27/02/2018,49d
A417 New Devs,A417 Greenfield MDU,Sydney West,Dane Harrington,Inv 14933,10/04/2019,27/02/2019,01/03/2019,01/03/2019,28/03/2019,15/03/2019,11/04/2019,Mar-19,Apr-19,,MW21638- AYCA-3NFID7-2PTH-04 - Tench Ave Jamisontown 1 ,Jamisontown,"$2,209.46","$3,782.49","$5,991.95"," $	6,591.15 ","$3,411.20",,"$3,411.20","$2,580.75",43%,Ertan Cicek ,Direct Award,19/12/2017,,30/01/2018,42d
A417 New Devs,A417 Greenfield MDU,Sydney West,Dane Harrington,Inv 14957,17/04/2019,20/02/2019,21/02/2019,,,05/04/2019,18/04/2019,Feb-19,Apr-19,,MW21791-AYCA-468RZY-2LID-04-23 Railway Parade - Internals,Lidcombe,"$1,400.00",,"$1,400.00"," $	1,540.00 ",,,$0.00,"$1,400.00",100%,Nabeel Jaimon,Direct Award,01/02/2018,,01/03/2018,28d
A417 New Devs,A417 Greenfield MDU,Sydney Sth,Mickey Tran,Inv 13985,03/08/2018,27/06/2018,27/06/2018,27/06/2018,26/07/2018,11/07/2018,02/08/2018,Jun-18,Aug-18,,"MW21819-AYCA-4KXY8F-2BTH-02-1 Wark Parade, Windradyne",Camden,"$1,240.76","$10,448.27","$11,689.03"," $	12,857.93 ",,,$0.00,"$11,689.03",100%,Ertan Cicek ,Direct Award,20/02/2018,,22/03/2018,30d
A417 New Devs,A417 Greenfield MDU,Sydney West,Dane Harrington,,,,30/01/2018,,,,,Jan-18,Jan-00,,"MW21884-AYCA-47OO3O- 2LIV-03- 188-190 Moore st, Liverpool",Liverpool,$857.61,,$857.61, $	943.37 ,$300.00,,$300.00,$557.61,65%,Ertan Cicek ,Direct Award,20/02/2018,,22/03/2018,30d
A417 New Devs,A417 Greenfield MDU,Sydney West,Dane Harrington,,,,30/06/2019,,,,,Jun-19,Jan-00,,"MW21876-AYCA-21PVTM - 2BLK-03 - 5 Second Avenue, Blacktown",Blacktown,$592.62,,$592.62, $	651.88 ,$300.00,,$300.00,$292.62,49%,Ertan Cicek ,Direct Award,20/02/2018,,22/03/2018,30d
A417 New Devs,A417 Greenfield MDU,Sydney West,Mickey Tran,Inv 13922,26/07/2018,22/06/2018,22/06/2018,26/06/2018,18/07/2018,06/07/2018,26/07/2018,Jun-18,Jul-18,,"MW21820-AYCA-4W4BKH-2HOM-02-38 Weeroona Rd, Strathfield Ext",Strathfield,"$5,741.50","$5,141.04","$10,882.54"," $	11,970.79 ","$3,623.46",,"$3,623.46","$7,259.08",67%,Nabeel Jaimon,Direct Award,20/02/2018,,22/03/2018,30d
A417 New Devs,A417 Greenfield MDU,Sydney West,Mickey Tran,Inv 13937,27/07/2018,22/06/2018,22/06/2018,22/06/2018,18/07/2018,06/07/2018,31/07/2018,Jun-18,Jul-18,,"MW21857-AYCA-442ZEA- 2PAR-63-2 Good st, Westmead",Westmead,"$1,825.19","$11,374.18","$13,199.37"," $	14,519.30 ","$7,231.46",$903.20,"$8,134.66","$5,064.71",38%,Ertan Cicek ,Direct Award,22/02/2018,,22/03/2018,28d
A417 RFQ,A417 RFQ Minor Works,Sth Coast,Mickey Tran,Inv 13829,06/07/2018,14/06/2018,15/06/2018,15/06/2018,27/06/2018,02/07/2018,05/07/2018,Jun-18,Jul-18,,MW21390 - AYCA-4QG9AV - NSB - 33 Shoalhaven St Kiama Surevy & Build,Kiama,"$1,919.00","$5,178.72","$7,097.72"," $	7,807.49 ","$1,120.00","$2,043.80","$3,163.80","$3,933.92",55%,Andrew Mahassy,10/12/2017,23/02/2018,75d,16/02/2018,-7d
A417 New Devs,A417 Greenfield MDU,Sydney West,Dane Harrington,Inv 15051,12/05/2019,29/03/2019,29/03/2019,29/03/2019,24/04/2019,12/04/2019,14/05/2019,Mar-19,May-19,,MW21875 - AYCA-42N8QF-  2PEN-67- Macklin 38 ,Pendle Hill,$515.58,"$3,216.57","$3,732.15"," $	4,105.37 ",$932.25,,$932.25,"$2,799.90",75%,Ertan Cicek,Direct Award,23/02/2018,,22/03/2018,27d
