Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-08-BJL-641,FB-01-01-03 | Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-08-BJL-641,FB-03-01-02 | Splicing of single fibre,1
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-08-BJL-641,FB-03-01-04 | De ribbonise 12 fibre ribbon,1
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-08-BJL-641,FB-01-01-03 | Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-08-BJL-641,FB-03-01-02 | Splicing of single fibre,1
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-08-BJL-641,FB-03-01-04 | De ribbonise 12 fibre ribbon,1
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-08-FJL-301,FB-01-01-03 | Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-08-FJL-301,FB-03-01-02 | Splicing of single fibre,1
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-08-FJL-301,FB-04-02-01 | Uni-directional OTDR Testing to the first fibre tested,1
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-08-FSL-641,CI-02-01-12O | Installation of 12 fibre cable sheath in occupied underground duct all- inclusive by any means,79
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-08-FSL-641,CI-02-01-12V | Installation of 12 fibre cable sheath in vacant underground duct all-inclusive by any means,0
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-09-FSD-301,CI-02-01-12O | Installation of 12 fibre cable sheath in occupied underground duct all- inclusive by any means,398.8
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-09-FSD-301,CI-02-01-12V | Installation of 12 fibre cable sheath in vacant underground duct all-inclusive by any means,0
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-09-FSL-641,CI-02-01-12O | Installation of 12 fibre cable sheath in occupied underground duct all- inclusive by any means,4.1
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-09-FSL-641,CI-02-01-12V | Installation of 12 fibre cable sheath in vacant underground duct all-inclusive by any means,20
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-09-SSS-644,CI-02-01-13O | Installation of single fibre cable sheath in occupied underground duct all- inclusive by any means,4.1
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-09-SSS-644,CI-02-01-13V | Installation of single fibre cable sheath in vacant underground duct all- inclusive by any means,20
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-FSD-301,CI-02-01-12O | Installation of 12 fibre cable sheath in occupied underground duct all- inclusive by any means,8
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-FSD-301,CI-02-01-12V | Installation of 12 fibre cable sheath in vacant underground duct all-inclusive by any means,0
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-FSD-302,CI-02-01-12O | Installation of 12 fibre cable sheath in occupied underground duct all- inclusive by any means,8
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-FSD-302,CI-02-01-12V | Installation of 12 fibre cable sheath in vacant underground duct all-inclusive by any means,0
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-FSD-303,CI-02-01-12O | Installation of 12 fibre cable sheath in occupied underground duct all- inclusive by any means,8
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-FSD-303,CI-02-01-12V | Installation of 12 fibre cable sheath in vacant underground duct all-inclusive by any means,0
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-FSD-304,CI-02-01-12O | Installation of 12 fibre cable sheath in occupied underground duct all- inclusive by any means,8
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-FSD-304,CI-02-01-12V | Installation of 12 fibre cable sheath in vacant underground duct all-inclusive by any means,0
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-FSD-305,CI-02-01-12O | Installation of 12 fibre cable sheath in occupied underground duct all- inclusive by any means,8
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-FSD-305,CI-02-01-12V | Installation of 12 fibre cable sheath in vacant underground duct all-inclusive by any means,0
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-FSD-306,CI-02-01-12O | Installation of 12 fibre cable sheath in occupied underground duct all- inclusive by any means,78.1
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-FSD-306,CI-02-01-12V | Installation of 12 fibre cable sheath in vacant underground duct all-inclusive by any means,0
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-FSL-641,CI-02-01-12O | Installation of 12 fibre cable sheath in occupied underground duct all- inclusive by any means,226
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-FSL-641,CI-02-01-12V | Installation of 12 fibre cable sheath in vacant underground duct all-inclusive by any means,0
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-FSL-642,CI-02-01-12O | Installation of 12 fibre cable sheath in occupied underground duct all- inclusive by any means,39
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-FSL-642,CI-02-01-12V | Installation of 12 fibre cable sheath in vacant underground duct all-inclusive by any means,0
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-FSL-643,CI-02-01-12O | Installation of 12 fibre cable sheath in occupied underground duct all- inclusive by any means,159.1
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-FSL-643,CI-02-01-12V | Installation of 12 fibre cable sheath in vacant underground duct all-inclusive by any means,0
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-FSL-644,CI-02-01-12O | Installation of 12 fibre cable sheath in occupied underground duct all- inclusive by any means,121.1
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-FSL-644,CI-02-01-12V | Installation of 12 fibre cable sheath in vacant underground duct all-inclusive by any means,0
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-FSL-645,CI-02-01-12O | Installation of 12 fibre cable sheath in occupied underground duct all- inclusive by any means,173
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-FSL-645,CI-02-01-12V | Installation of 12 fibre cable sheath in vacant underground duct all-inclusive by any means,0
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-FSL-646,CI-02-01-12O | Installation of 12 fibre cable sheath in occupied underground duct all- inclusive by any means,99
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-FSL-646,CI-02-01-12V | Installation of 12 fibre cable sheath in vacant underground duct all-inclusive by any means,0
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-FSL-647,CI-02-01-12O | Installation of 12 fibre cable sheath in occupied underground duct all- inclusive by any means,143
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-FSL-647,CI-02-01-12V | Installation of 12 fibre cable sheath in vacant underground duct all-inclusive by any means,0
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-FSL-648,CI-02-01-12O | Installation of 12 fibre cable sheath in occupied underground duct all- inclusive by any means,114
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-FSL-648,CI-02-01-12V | Installation of 12 fibre cable sheath in vacant underground duct all-inclusive by any means,0
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-SSS-641,CI-02-01-13O | Installation of single fibre cable sheath in occupied underground duct all- inclusive by any means,108
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-SSS-641,CI-02-01-13V | Installation of single fibre cable sheath in vacant underground duct all- inclusive by any means,0
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-SSS-643,CI-02-01-13O | Installation of single fibre cable sheath in occupied underground duct all- inclusive by any means,82
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-SSS-643,CI-02-01-13V | Installation of single fibre cable sheath in vacant underground duct all- inclusive by any means,0
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-SSS-644,CI-02-01-13O | Installation of single fibre cable sheath in occupied underground duct all- inclusive by any means,176
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-SSS-644,CI-02-01-13V | Installation of single fibre cable sheath in vacant underground duct all- inclusive by any means,0
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-SSS-645,CI-02-01-13O | Installation of single fibre cable sheath in occupied underground duct all- inclusive by any means,106
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-SSS-645,CI-02-01-13V | Installation of single fibre cable sheath in vacant underground duct all- inclusive by any means,45
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-SSS-646,CI-02-01-13O | Installation of single fibre cable sheath in occupied underground duct all- inclusive by any means,26
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-SSS-646,CI-02-01-13V | Installation of single fibre cable sheath in vacant underground duct all- inclusive by any means,0
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-SSS-647,CI-02-01-13O | Installation of single fibre cable sheath in occupied underground duct all- inclusive by any means,62
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-SSS-647,CI-02-01-13V | Installation of single fibre cable sheath in vacant underground duct all- inclusive by any means,0
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-SSS-648,CI-02-01-13O | Installation of single fibre cable sheath in occupied underground duct all- inclusive by any means,27
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-SSS-648,CI-02-01-13V | Installation of single fibre cable sheath in vacant underground duct all- inclusive by any means,45
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-SSS-649,CI-02-01-13O | Installation of single fibre cable sheath in occupied underground duct all- inclusive by any means,173.8
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-SSS-649,CI-02-01-13V | Installation of single fibre cable sheath in vacant underground duct all- inclusive by any means,0
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-SSS-650,CI-02-01-13O | Installation of single fibre cable sheath in occupied underground duct all- inclusive by any means,132
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-SSS-650,CI-02-01-13V | Installation of single fibre cable sheath in vacant underground duct all- inclusive by any means,0
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-SSS-652,CI-02-01-13O | Installation of single fibre cable sheath in occupied underground duct all- inclusive by any means,95
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-04 - Construction,2CAS-04-10-SSS-652,CI-02-01-13V | Installation of single fibre cable sheath in vacant underground duct all- inclusive by any means,0
