Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,19 - 601271781 - Cu 1400/0.51 PIQL UA - CVIC01 c16:M1-1400,CR-01-01-01-01 | Cable Recovery of all sizes,70.1
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,20 - 601271843 - Cu 1400/0.51 PIQL PE - CVIC01 c18:M1-1400,CR-01-01-01-01 | Cable Recovery of all sizes,27.6
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,20 - 601271845 - Cu 1200/0.64 PIQL PE - CVIC01 c38:M1-1200,CR-01-01-01-01 | Cable Recovery of all sizes,27.6
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,20 - 601271841 - Cu 1400/0.51 PIQL UA - CVIC01 c16:M1-1400,CR-01-01-01-01 | Cable Recovery of all sizes,27.6
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,21 - 601271886 - Cu 1400/0.51 PIQL PE - CVIC01 c18:M1-1400,CR-01-01-01-01 | Cable Recovery of all sizes,67.3
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,21 - 601271885 - Cu 1200/0.64 PIQL PE - CVIC01 c38:M1-1200,CR-01-01-01-01 | Cable Recovery of all sizes,67.3
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,21 - 601271879 - Cu 1400/0.51 PIQL UA - CVIC01 c16:M1-1400,CR-01-01-01-01 | Cable Recovery of all sizes,67.3
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,22 - 601271908 - Cu 1400/0.51 PIQL PE - CVIC01 c18:M1-1400,CR-01-01-01-01 | Cable Recovery of all sizes,47.2
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,22 - 601271907 - Cu 1200/0.64 PIQL PE - CVIC01 c38:M1-1200,CR-01-01-01-01 | Cable Recovery of all sizes,47.2
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,22 - 601271901 - Cu 1400/0.51 PIQL UA - CVIC01 c16:M1-1400,CR-01-01-01-01 | Cable Recovery of all sizes,47.2
