Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,14 - 2600967761 - Cu 1800/0.40 PIUT UA - QNBN01 c16:M1-1800,CID-01-01-01 | Copper Identification for Copper Recovery,51.6
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,17 - 2600961585 - Cu 1800/0.40 PIUT UA - QNBN01 c16:M1-1800,CID-01-01-01 | Copper Identification for Copper Recovery,124
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,18 - 2600961071 - Cu 600/0.40 PIUT UA - QNBN01 c16:M1-600,CID-01-01-01 | Copper Identification for Copper Recovery,209.9
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,18 - 2600961070 - Cu 400/0.40 PIUT UA - QNBN01 c16:M601-1000,CID-01-01-01 | Copper Identification for Copper Recovery,209.9
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,22 - 2600961796 - Cu 1200/0.40 PIUT UA - QNBN01 c16:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,43.7
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,23 - 2600961817 - Cu 1200/0.40 PIUT UA - QNBN01 c16:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,97
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,25 - 2600965436 - Cu 1800/0.40 PIUT UA - QNBN01 c16:M1-1800,CID-01-01-01 | Copper Identification for Copper Recovery,27.4
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,27 - 2600965426 - Cu 1800/0.40 PIUT UA - QNBN01 c16:M1-1800,CID-01-01-01 | Copper Identification for Copper Recovery,8.2
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,28 - 15033353972 - Cu 600/0.40 PIUT UA - QNBN01 c16:M1-600,CID-01-01-01 | Copper Identification for Copper Recovery,69.5
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,28 - 15033353971 - Cu 400/0.40 PIUT UA - QNBN01 c16:M601-1000,CID-01-01-01 | Copper Identification for Copper Recovery,69.5
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,29 - 15038234736 - Cu 400/0.40 PIUT UA - QNBN01 c16:M601-1000,CID-01-01-01 | Copper Identification for Copper Recovery,23.9
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,29 - 15038234626 - Cu 600/0.40 PIUT UA - QNBN01 c16:M1-600,CID-01-01-01 | Copper Identification for Copper Recovery,23.9
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,30 - 15038234737 - Cu 400/0.40 PIUT UA - QNBN01 c16:M601-1000,CID-01-01-01 | Copper Identification for Copper Recovery,22.5
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,30 - 15038234627 - Cu 600/0.40 PIUT UA - QNBN01 c16:M1-600,CID-01-01-01 | Copper Identification for Copper Recovery,22.5
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,36 - 2600961050 - Cu 600/0.40 PIUT UA - QNBN01 c16:M1-600,CID-01-01-01 | Copper Identification for Copper Recovery,131
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,36 - 2600961048 - Cu 400/0.40 PIUT UA - QNBN01 c16:M601-1000,CID-01-01-01 | Copper Identification for Copper Recovery,131
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,63 - 0 - Cu 1800/0.40 PIUT UA - QNBN01 c16:M1-1800,CID-01-01-01 | Copper Identification for Copper Recovery,11.6
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,4 - 2600963888 - Cu 1200/0.40 PIUT UA - QNBN01 c20:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,121.1
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,5 - 2600963910 - Cu 1200/0.40 PIUT UA - QNBN01 c20:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,21.5
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,6 - 2600963922 - Cu 1200/0.40 PIUT UA - QNBN01 c20:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,100.6
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,7 - 2600963935 - Cu 1200/0.40 PIUT UA - QNBN01 c20:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,61.7
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,8 - 2600963948 - Cu 1200/0.40 PIUT UA - QNBN01 c20:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,204.8
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,11 - 2600965617 - Cu 1200/0.40 PIUT UA - QNBN01 c20:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,36.5
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,12 - 2600965671 - Cu 1200/0.40 PIUT UA - QNBN01 c20:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,74.2
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,13 - 2600965698 - Cu 1200/0.40 PIUT UA - QNBN01 c20:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,33.7
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,24 - 2600963609 - Cu 1200/0.40 PIUT UA - QNBN01 c20:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,33.3
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,26 - 15002159660 - Cu 1200/0.40 PIUT UA - QNBN01 c20:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,127.8
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,41 - 2600963350 - Cu 1200/0.40 PIUT UA - QNBN01 c20:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,60
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,42 - 2600963350 - Cu 1200/0.40 PIUT UA - QNBN01 c20:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,6.1
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,53 - 2600870116 - Cu 1200/0.40 CPIUT MB - QNBN01 c20:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,139.8
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,54 - 2600870146 - Cu 1200/0.40 CPIUT MB - QNBN01 c20:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,27.2
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,55 - 2600870175 - Cu 1200/0.40 CPIUT MB - QNBN01 c20:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,83.7
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,56 - 2600870195 - Cu 1200/0.40 CPIUT MB - QNBN01 c20:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,127
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,60 - 15047662669 - Cu 1200/0.40 CPIUT MB - QNBN01 c20:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,94.2
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,62 - 0 - Cu 1200/0.40 PIUT UA - QNBN01 c20:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,12.2
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,63 - 0 - Cu 1200/0.40 PIUT UA - QNBN01 c20:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,11.6
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,4 - 2600963887 - Cu 1200/0.40 CPIUT MB - QNBN01 c22:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,121.1
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,5 - 2600963911 - Cu 1200/0.40 CPIUT MB - QNBN01 c22:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,21.5
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,6 - 2600963921 - Cu 1200/0.40 CPIUT MB - QNBN01 c22:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,100.6
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,7 - 2600963934 - Cu 1200/0.40 CPIUT MB - QNBN01 c22:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,61.7
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,8 - 2600963947 - Cu 1200/0.40 CPIUT MB - QNBN01 c22:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,204.8
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,11 - 2600965622 - Cu 1200/0.40 CPIUT MB - QNBN01 c22:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,36.5
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,12 - 2600965676 - Cu 1200/0.40 CPIUT MB - QNBN01 c22:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,74.2
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,13 - 2600965704 - Cu 1200/0.40 CPIUT MB - QNBN01 c22:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,33.7
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,19 - 2600910211 - Cu 1200/0.40 CPIUT MB - QNBN01 c22:M1-800,CID-01-01-01 | Copper Identification for Copper Recovery,51.6
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,20 - 2600910227 - Cu 1200/0.40 CPIUT MB - QNBN01 c22:M1-800,CID-01-01-01 | Copper Identification for Copper Recovery,41
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,24 - 6501552729 - Cu 1200/0.40 CPIUT MB - QNBN01 c22:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,33.3
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,26 - 15002159664 - Cu 1200/0.40 CPIUT MB - QNBN01 c22:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,127.8
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,32 - 6501552806 - Cu 1200/0.40 CPIUT MB - QNBN01 c22:M1-800,CID-01-01-01 | Copper Identification for Copper Recovery,31.1
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,33 - 2600910231 - Cu 800/0.40 CPFUT MB - QNBN01 c22:M1-800,CID-01-01-01 | Copper Identification for Copper Recovery,28.4
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,38 - 15037925420 - Cu 1200/0.40 CPIUT MB - QNBN01 c22:M1-800,CID-01-01-01 | Copper Identification for Copper Recovery,60.6
