Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty,Comment
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-BJL-641,FB-01-01-03 | Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1,WOT1437099
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-BJL-641,FB-03-01-02 | Splicing of single fibre,4,WOT1438503
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-BJL-642,FB-03-01-02 | Splicing of single fibre,10,WOT1438511
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-BJL-642,FB-01-01-03 | Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1,WOT1437157
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-BJL-643,FB-01-01-03 | Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1,WOT1437391
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-BJL-643,FB-03-01-02 | Splicing of single fibre,2,WOT1438545
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-BJL-644,FB-03-01-02 | Splicing of single fibre,1,WOT1438563
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-BJL-644,FB-01-01-03 | Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1,WOT1437511
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-FJL-301,FB-01-04-03 | Installation of splitter within an existing FJL enclosure,1,WOT1437108
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-FJL-301,FB-04-02-01 | Uni-directional OTDR Testing to the first fibre tested,24,WOT1437110
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-FJL-301,FB-03-01-04 | De ribbonise 12 fibre ribbon,1,WOT1438506
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-FJL-301,FB-01-01-03 | Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1,WOT1437108
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-FJL-301,FB-03-01-02 | Splicing of single fibre,13,WOT1438506
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-FSD-301,CI-02-01-12O | Installation of 12 fibre  cable sheath in occupied underground duct all-inclusive by any means,17,WOT1437023
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-FSD-302,CI-02-01-13O | Installation of single fibre cable sheath in occupied underground duct all-inclusive  by any means,17,WOT1437024
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-FSD-303,CI-02-01-13O | Installation of single fibre cable sheath in occupied underground duct all-inclusive  by any means,17,WOT1437025
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-FSD-304,CI-02-01-13O | Installation of single fibre cable sheath in occupied underground duct all-inclusive  by any means,17,WOT1437026
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-FSD-305,CI-02-01-13O | Installation of single fibre cable sheath in occupied underground duct all-inclusive  by any means,17,WOT1437027
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-FSL-641,CI-02-01-12O | Installation of 12 fibre  cable sheath in occupied underground duct all-inclusive by any means,37,WOT1437028
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-FSL-642,CI-02-01-12O | Installation of 12 fibre  cable sheath in occupied underground duct all-inclusive by any means,118,WOT1437029
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-FSL-643,CI-02-01-12O | Installation of 12 fibre  cable sheath in occupied underground duct all-inclusive by any means,89,WOT1437030
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-FSL-644,CI-02-01-12V | Installation of 12 fibre cable sheath in Vacant underground duct,116,WOT1437031
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-FSL-644,CI-02-01-12O | Installation of 12 fibre  cable sheath in occupied underground duct all-inclusive by any means,171,WOT1437031
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-SMP-641,FB-04-02-05 | Insertion loss testing to the first fibre tested,1,WOT1437386
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-SMP-641,FB-02-01-01 | Installation of multiport or splitter multiport in underground pit or manhole,1,WOT1437385
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-SMP-642,FB-04-02-05 | Insertion loss testing to the first fibre tested,1,WOT1437436
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-SMP-642,FB-02-01-01 | Installation of multiport or splitter multiport in underground pit or manhole,1,WOT1437435
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-SMP-643,FB-02-01-01 | Installation of multiport or splitter multiport in underground pit or manhole,1,WOT1437507
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-SMP-643,FB-04-02-05 | Insertion loss testing to the first fibre tested,1,WOT1437508
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-SMP-644,FB-04-02-05 | Insertion loss testing to the first fibre tested,1,WOT1437388
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-SMP-644,FB-02-01-01 | Installation of multiport or splitter multiport in underground pit or manhole,1,WOT1437387
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-SMP-645,FB-02-01-01 | Installation of multiport or splitter multiport in underground pit or manhole,1,WOT1437509
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-SMP-645,FB-04-02-05 | Insertion loss testing to the first fibre tested,1,WOT1437510
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-SMP-646,FB-04-02-05 | Insertion loss testing to the first fibre tested,1,WOT1437390
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-SMP-646,FB-02-01-01 | Installation of multiport or splitter multiport in underground pit or manhole,1,WOT1437389
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-20 - Construction,2CAS-20-11-SMP-647,FB-02-01-01 | Installation of multiport or splitter multiport in underground pit or manhole,1,WOT1437218
