Request ID,Name,Application Name,Active Status,Application Status,No. of Premises,Technology Deployed,State,Suburb,Address,Post Code,Finance Project Number,Build Type(s),Estimated First Service Connection Date,Pathway Design Status,Trans / Dist NDD Status,Trans / Dist Contract Type,Trans / Dist Order Status,Trans / Dist WR/WI Issued Date,CLAAN Status,NBN Co Project Manager (Trans / Dist),Supplier (Trans / Dist)
AYCA-1L7010,2LID-08,Mixed Use Development - Tower A and B,Active,Supply Order Raised,217,FTTP – Type 2,NSW,Auburn,18 Harrow Road & 93 Auburn Road,2144,161994,B + E,9/28/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,12/12/17 12:00,,Ertan Cicek,Datateks
AYCA-21PVTM,2BLK-03,One Seven - 1,Active,Supply Order Raised,146,FTTP – Type 2,NSW,Blacktown,5 Second Avenue,2148,162095,B + E,9/28/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,2/20/18 12:00,,Ertan Cicek,Datateks
AYCA-44H3AU,2STL-65,"EMBASSY TOWERS, STAGE 2 - 1",Active,Supply Order Raised,276,FTTP – Type 2,NSW,St Leonards,13 Marshall Ave,2065,157762,B + E,9/28/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,5/21/18 12:00,,,Datateks
AYCA-4JW63S,2CRO-21,Dingle Apartment - 1,Active,Supply Order Raised,34,FTTP – Type 2,NSW,Cronulla,25-29 Tonkin St,2230,167015,B + E,9/28/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,5/29/18 12:00,,Ertan Cicek,Datateks
AYCA-4PQO3D,2EPP-62,LUCILLE - 1,Active,Supply Order Raised,62,FTTP – Type 2,NSW,Epping,12/6 Maida Rd,2121,181696,B + E,9/28/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,5/23/18 12:00,,Ertan Cicek,Datateks
AYCA-56PP6W,2BAN-67,KOI Bankstown - 1,Active,Supply Order Raised,23,FTTP – Type 3 (MT-LFN),NSW,Bankstown,55-57 Chelmsford Ave,2200,184128,B + E,9/28/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,6/29/18 12:00,CLAAN Sent to DP,Ertan Cicek,Datateks
AYCA-58BKNK,2RYD-66,QUBE - 1,Active,Supply Order Raised,42,FTTP – Type 2,NSW,Ryde,2-6 Junction St,2112,181672,B + E,9/29/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,6/6/18 12:00,CLAAN Sent to DP,Ertan Cicek,Datateks
AYCA-2XJBL7,2SIL-02,Site 9 - 1,Active,Supply Order Raised,12,FTTP – Type 2,NSW,Sydney Olympic Park,3 Olympic Blvd,2127,160138,B + E,9/30/18,Awaiting Corrective Action,Reservation Response Received,MWA - SOPR,WI Issued,5/29/18 12:00,CLAAN Sent to DP,Ertan Cicek,Datateks
AYCA-397TA7,2TGL-02,Aria Terrigal - Building 1 - 1,Active,Supply Order Raised,18,FTTP – Type 2,NSW,Terrigal,6-8 Painters Lane,2260,160792,B + E,10/1/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,6/26/18 12:00,CLAAN Sent to DP,Ertan Cicek,Datateks
AYCA-4KZ476,2PTH-02,Penrith 1 - 1,Active,Supply Order Raised,71,FTTP – Type 2,NSW,Penrith,38-40 Doonmore St,2750,171616,B + E,10/1/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,4/23/18 12:00,,Ertan Cicek,Datateks
