Request ID,Name,Application Name,Active Status,Application Status,No. of Premises,Technology Deployed,State,Suburb,Address,Post Code,Finance Project Number,Build Type(s),Estimated First Service Connection Date,Pathway Design Status,Trans / Dist NDD Status,Trans / Dist Contract Type,Trans / Dist Order Status,Trans / Dist WR/WI Issued Date,CLAAN Status,NBN Co Project Manager (Trans / Dist),Supplier (Trans / Dist)
AYCA-4LM7HH,2UND-61,Wattle Hill - 1,Active,Supply Order Raised,47,FTTP – Type 2,NSW,Hurlstone Park,590-602 New Canterbury Rd,2193,165375,B + E,12/18/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,3/29/18 12:00,,Ertan Cicek,Datateks
AYCA-4QDZCA,2STL-61,The Hume - 1,Active,Supply Order Raised,39,FTTP – Type 2,NSW,Crows Nest,31-33 Albany St,2065,174992,B + E,12/18/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,7/13/18 12:00,CLAAN Sent to DP,Ertan Cicek,Datateks
AYCA-4VSW7K,2PTH-05,Vista Apartments - 1,Active,Developer Contract Signed,82,FTTP – Type 2,NSW,Penrith,10-12 Vista St,2750,181268,B + E,12/20/18,Design Accepted,Reservation Response Received,MWA - SOPR,DCE Generated,,CLAAN Sent to LASE,Ertan Cicek,Datateks
AYCA-4OCM1V,2UND-60,"260-264 Wardell Rd, Marrickville - 1",Active,Developer Contract Signed,26,FTTP – Type 2,NSW,Marrickville,260-264 Wardell Rd,2204,169909,B + E,12/21/18,Design Accepted,Reservation Response Received,MWA - SOPR,DCE Generated,,CLAAN Sent to LASE,Ertan Cicek,Datateks
AYCA-52OEM0,2MON-25,33 Darley Street - 1,Active,Supply Order Raised,5,FTTP – Type 3 (MT-LFN),NSW,Mona Vale,33 Darley Street East,2103,183201,B + E,12/21/18,,Reservation Response Received,MWA - SOPR,WI Issued,6/14/18 12:00,CLAAN Sent to DP,Ertan Cicek,Datateks
AYCA-4VJFPP,2NEW-22,"19-21 Eve St, Erskineville - 1",Active,Supply Order Raised,21,FTTP – Type 2,NSW,Erskineville,19-21 Eve St,2043,177334,B + E,1/9/19,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,3/7/18 12:00,,Lindy Chan,Datateks
AYCA-33L9HP,2BAN-64,"Restwell Street, Bankstown - 1",Active,Supply Order Raised,161,FTTP – Type 2,NSW,Bankstown,Restwell & Leonard St,2200,179182,B + E,1/11/19,,Reservation Response Received,MWA - SOPR,WI Issued,4/30/18 12:00,,,Datateks
AYCA-4SRFAN,2BAL-62,ALDI Store Development - Balgowlah - 1,Active,Supply Order Raised,2,FTTP – Type 3 (MT-LFN),NSW,Balgowlah,22/26 Roseberry St,2093,175478,B + E,1/22/19,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,5/14/18 12:00,,Lindy Chan,Datateks
AYCA-4UE5JN,2LID-03,Auburn 46-48 Beaumont St - 1,Active,Supply Order Raised,8,FTTP – Type 2,NSW,Auburn,46-48 Beaumont Street,2144,172204,B + E,1/31/19,Design Accepted,Completed (No Telstra Duct),MWA - SOPR,WI Issued,5/21/18 12:00,,,Datateks
AYCA-48S696,2BLK-03,C.J.T. Pty Ltd - 1,Active,Supply Order Raised,34,FTTP – Type 2,NSW,Blacktown,3-7 Wallace St,2148,156711,B + E,2/22/19,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,5/3/18 12:00,CLAAN Sent to DP,Nabeel Jaimon,Datateks
AYCA-24QAXK,2ROC-03,10 Martin Ave Arncliffe - 1 & 2,Active,Supply Order Raised,159,FTTP – Type 2,NSW,Arncliffe,10 Martin Avenue,2205,131592,B + E,3/1/19,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,5/23/18 12:00,,Michael Tram,Datateks
AYCA-35DF0W,2KEL-07,"1, 1A & 1B President Rd, Kellyville - 1",Active,Supply Order Raised,16,FTTP – Type 2,NSW,Kellyville,"1, 1A & 1B President Rd",2155,173632,B + E,3/29/19,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,3/8/18 12:00,,Lindy Chan,Datateks
AYCA-4H8EZO,2HUH-22,117 VICTORIA ROAD - 1,Active,Supply Order Raised,29,FTTP – Type 2,NSW,Gladesville,117-123 Victoria Rd,2111,178782,B + E,4/5/19,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,4/4/18 12:00,,Ertan Cicek,Datateks
AYCA-47OO3O,2LIV-03,188-190 Moore St Liverpool - 1,Active,Supply Order Raised,25,FTTP – Type 2,NSW,Liverpool,188-190 Moore St,2170,158978,B + E,4/29/19,Design Accepted,Completed (No Telstra Duct),MWA - SOPR,WI Issued,2/22/18 12:00,,Ertan Cicek,Datateks
AYCA-4NNOGX,2PTH-02,240-250 Great Western Highway - 1,Active,Supply Order Raised,123,FTTP – Type 2,NSW,Kingswood,240-250 Great Western Hwy,2747,165991,B + E,5/30/19,Awaiting Corrective Action,Reservation Response Received,MWA - SOPR,WI Issued,4/23/18 12:00,,Ertan Cicek,Datateks
AYCA-4IIZWC,2STL-60,Edge 28 - 1,Active,Supply Order Raised,53,FTTP – Type 2,NSW,St Leonards,28 Albany St,2065,176827,B + E,6/7/19,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,6/8/18 16:00,CLAAN Sent to DP,Ertan Cicek,Datateks
AYCA-26KP9Q,2ROU-02,Site-36 cnr site Rouse Hill Town Centre,Active,Supply Order Raised,58,FTTP – Type 2,NSW,Rouse Hill,Caddies Boulevard & White Hart Drive,2155,154363,B + E,6/14/19,,Reservation Response Received,MWA - SOPR,WI Issued,3/15/18 12:00,,Ertan Cicek,Datateks
AYCA-3W384B,2HOR-62,"433-437 Pacific Highway, Asquith - 1",Active,Supply Order Raised,38,FTTP – Type 2,NSW,Asquith,433-437 Pacific Hwy,2077,153443,B + E,2/7/20,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,3/29/18 12:00,,Ertan Cicek,Datateks
AYCA-476RM9,2LIV-04,"Non Standard Builds - 87-91 Campbell St,",Active,Dev Transferred to Build,76,,NSW,Liverpool,87-91 Campbell St,2170,159520,B + E,2/15/17,Not Applicable,MWA - RFQ,WI Issued,9/21/17 12:00,,Andrew Mahasay,Datateks,
AYCA-50FP2M,2ROU-03,Non Standard Builds - Oxlade Street Kell,Active,Supply Order Raised,24,FTTP – Type 2,NSW,Kellyville,Oxlade Street,2155,174594,B + D,12/18/17,Completed,MWA - SOPR,WI Issued,5/2/18 12:00,,Sogand Mohtat,Datateks,
AYCA-54SUCD,2PKE-06,Non Standard Builds - Warehouse Pl,Active,Supply Order Raised,11,FTTP – Type 3 (MT-LFN),NSW,Berkeley,Warehouse Pl,2506,177518,B + D,2/8/18,Completed,MWA - SOPR,WI Issued,5/2/18 12:00,,Mark Leal,Datateks,
AYCA-547JTQ,2DBB-04,Rawson St Dubbo - 1,Active,Supply Order Raised,3,FTTP – Type 2,NSW,Dubbo,1d Rawson St,2830,178176,B + D,5/31/18,Completed,MWA - SOPR,WI Issued,5/31/18 12:00,,Andrew Mahasay,Datateks,
AYCA-5DPOWN,2APN-01,"13 Technology Dr, Appin NSW 2560, Austra",Active,Supply Order Raised,4,FTTP – Type 3 (MT-LFN),NSW,Appin,13 Technology Drive,2560,183808,B + E,6/1/18,Area Plan Ready,MWA - SOPR,WI Issued,7/16/18 12:00,CLAAN Sent to DP,Richard Huffadine,Datateks,
AYCA-4VAQ8P,9SCU-07,1/65 Macgregor - 1,Active,Supply Order Raised,3,FTTN,ACT,MacGregor,11 Prevost Pl,2615,176675,B + D,7/4/18,Completed,MWA - RFQ,WI Issued,5/8/18 12:00,,Andrew Mahasay,Datateks,
AYCA-53E534,2LIV-12,Glenfield Gains - 1,Active,Supply Order Raised,11,FTTP – Type 2,NSW,Glenfield,25 Glenfield Rd,2167,178433,B + E,7/18/18,Not Applicable,MWA - SOPR,WI Issued,3/20/18 12:00,,Nabeel Jaimon,Datateks,
AYCA-541Y7O,2WAU-20,Beechwood - 4A,Active,Supply Order Raised,3,FTTP – Type 3 (MT-LFN),NSW,Beechwood,728-730,2446,176960,D,7/30/18,Completed,MWA - SOPR,WI Issued,4/30/18 12:00,,Andrew Mahasay,Datateks,
AYCA-4SV0JO,2ING-65,"Ingleburn Industrial Estate, Stage 2 - 1",Active,Supply Order Raised,2,FTTP – Type 3 (MT-LFN),NSW,Ingleburn,41-47 Stennett Rd,2565,178376,B + E,7/31/18,Not Applicable,MWA - SOPR,WI Issued,3/15/18 12:00,,Richard Huffadine,Datateks,
AYCA-54QSHT,2MIL-20,LOT A KURRAJONG ROAD PRESTONS 2170 - 1,Active,Supply Order Raised,1,FTTP – Type 3 (MT-LFN),NSW,Prestons,42A Kurrajong Rd,2170,177662,B + E,8/2/18,Not Applicable,MWA - SOPR,WI Issued,4/11/18 12:00,,Nabeel Jaimon,Datateks,
AYCA-4LYVIU,2BTH-01,Arndilly - 2,Active,Supply Order Raised,2,FTTN,NSW,Bathurst,136 Peel Street,2795,164108,B + D,8/3/18,Completed,MWA - RFQ,WI Issued,10/24/17 12:00,,Andrew Mahasay,Datateks,
AYCA-5ALZB0,2BLK-07,1 Huntingwood Drive - 2,Active,Supply Order Raised,1,FTTP – Type 2,NSW,Huntingwood,6 Woods Cl,2148,181922,B + E,8/15/18,Not Applicable,MWA - SOPR,WI Issued,7/10/18 12:00,CLAAN Sent to DP,Nabeel Jaimon,Datateks,
AYCA-52ZO0L,2LID-04,Norval St Boarding House - 1,Active,Supply Order Raised,10,FTTP – Type 2,NSW,Auburn,32 Norval St,2144,177658,B + E,8/17/18,Not Applicable,MWA - SOPR,WI Issued,3/15/18 12:00,,Richard Huffadine,Datateks,
AYCA-4HTS7R,2RIV-03,875 Marsden Park - 1,Active,Supply Order Raised,4,FTTP – Type 2,NSW,Marsden Park,875 Richmond Rd,2765,163669,B + D,8/31/18,Completed,MWA - SOPR,WI Issued,1/10/18 12:00,,Andrew Mahasay,Datateks,
AYCA-LYHJJ,2MTT-02,Renwick - DA06B,Active,Supply Order Raised,8,FTTP – Type 2,NSW,Mittagong,10 Cardigan St,2575,183911,D,8/31/18,Completed,MWA - SOPR,WI Issued,6/15/18 12:00,CLAAN Sent to DP,Andrew Mahasay,Datateks,
AYCA-4BBYMK,2ROU-01,Old Pitt Town Road - 1 Community,Active,Supply Order Raised,7,FTTP – Type 3 (MT-LFN),NSW,Box Hill,184 & 186 Old Pitt Town Rd,2765,162606,D,9/3/18,Completed,MWA - SOPR,WI Issued,5/30/18 12:00,CLAAN Sent to DP,Andrew Mahasay,Datateks,
AYCA-3V2064,2WAG-01,"Cooramin Street, Boorooma - 10",Active,Supply Order Raised,7,FTTP – Type 2,NSW,Boorooma,29 Gibson St,2650,153854,B + D,9/7/18,Completed,MWA - SOPR,WI Issued,4/30/18 12:00,,Andrew Mahasay,Datateks,
AYCA-4YZZ1I,2ABN-03,Boulevarde - 1,Active,Supply Order Raised,4,FTTN,NSW,Oak Flats,149 The Boulevarde,2529,175688,B + D,9/17/18,Completed,MWA - RFQ,WI Issued,5/25/18 12:00,CLAAN Sent to Council,Andrew Mahasay,Datateks,
AYCA-4O03IQ,2COR-09,"17 RYAN STREET, BALGOWNIE - 1",Active,Supply Order Raised,7,FTTP – Type 3 (MT-LFN),NSW,Balgownie,17 Ryan Street,2519,167597,B + E,10/1/18,Area Plan Ready,MWA - SOPR,WI Issued,3/15/18 12:00,,Nabeel Jaimon,Datateks,
AYCA-2T05DV,2RCH-04,ISAAC DEVELOPMENTS BLIGH PARK - 1,Active,Supply Order Raised,4,FTTP – Type 2,NSW,South Windsor,752 George St,2756,163188,B + D,10/12/18,Completed,MWA - SOPR,WI Issued,6/21/18 12:00,CLAAN Sent to Council,Andrew Mahasay,Datateks,
AYCA-481ES7,2BTH-09,Sitecar - 915,Active,Supply Order Raised,3,FTTP – Type 3 (MT-LFN),NSW,Bathurst,65 George St,2795,163663,B + E,10/18/18,Area Plan Ready,MWA - SOPR,WI Issued,6/15/18 12:00,,Nabeel Jaimon,Datateks,
AYCA-4IEHVB,2CAH-21,Bottlebrush Place - 1,Active,Supply Order Raised,6,FTTN,NSW,Lakewood,Bottlebrush Place,2443,163493,B + D,10/19/18,Completed,MWA - RFQ,WI Issued,5/29/18 12:00,,Andrew Mahasay,Datateks,
AYCA-3BBGCI,2RIV-04,Sand & Soil Yard - 1,Active,Supply Order Raised,2,FTTP – Type 2,NSW,Box Hill,737 Windsor Rd,2765,163205,B + D,10/26/18,Completed,MWA - SOPR,WI Issued,5/8/18 12:00,,Andrew Mahasay,Datateks,
AYCA-468RZY,2LID-04,23 RAILWAY PARADE - 1,Active,Supply Order Raised,5,FTTP – Type 2,NSW,Lidcombe,23 Railway Parade,2141,156882,B + E,10/29/18,Not Applicable,MWA - SOPR,WI Issued,2/1/18 12:00,,Nabeel Jaimon,Datateks,
AYCA-4YJULB,2REV-20,Flower Power - 1,Active,Supply Order Raised,9,FTTP – Type 3 (MT-LFN),NSW,Milperra,479 Henry Lawson Drive,2214,177523,A + E,10/29/18,Not Applicable,MWA - SOPR,WI Issued,5/7/18 12:00,,Nabeel Jaimon,Datateks,
AYCA-4LHC6F,2DBB-01,Magnolia Estate - 5,Active,Supply Order Raised,10,FTTP – Type 2,NSW,Dubbo,30 Ritz Pl,2830,165370,D,11/1/18,Completed,MWA - SOPR,WI Issued,5/30/18 12:00,CLAAN Sent to DP,Andrew Mahasay,Datateks,
AYCA-4R1C1M,2RIV-07,"Crown, Edmund, William Street - 9",Active,Supply Order Raised,6,FTTP – Type 2,NSW,Riverstone,William St,2765,169377,D,11/1/18,Completed,MWA - SOPR,WI Issued,5/31/18 12:00,CLAAN Sent to DP,Andrew Mahasay,Datateks,
AYCA-4W183C,2WLG-02,The Quad - 1,Active,Supply Order Raised,4,FTTP – Type 2,NSW,Wollongong,71 Auburn St,2500,178048,B + E,11/5/18,Not Applicable,MWA - SOPR,WI Issued,5/22/18 12:00,,Nabeel Jaimon,Datateks,
AYCA-52S52D,2BTH-01,Rankens Bridge Farm - 4,Active,Supply Order Raised,6,FTTP – Type 2,NSW,Eglinton,18 Hobson Cl,2795,176513,D,11/19/18,Completed,MWA - SOPR,WI Issued,6/1/18 12:00,CLAAN Sent to DP,Mark Leal,Datateks,
AYCA-4X6TWU,2LID-08,Omar Mosque - final stages,Active,Supply Order Raised,2,FTTP – Type 2,NSW,Auburn,43-47 Harrow Rd,2144,177336,B + E,11/30/18,Not Applicable,MWA - SOPR,WI Issued,3/6/18 12:00,,Nabeel Jaimon,Datateks,
AYCA-577BDS,2BLK-07,36 Huntingwood Drive - 1,Active,Supply Order Raised,3,FTTP – Type 2,NSW,Huntingwood,36 Huntingwood Drive,2148,180681,B + E,12/3/18,Not Applicable,MWA - SOPR,WI Issued,6/4/18 12:00,CLAAN Sent to DP,Richard Huffadine,Datateks,
AYCA-4OJUJI,2GLB-04,20 Cathcart Street - 1,Active,Supply Order Raised,3,FTTN,NSW,Goulburn,20 Cathcart St,2580,166621,B + D,12/10/18,Completed,MWA - RFQ,WI Issued,5/18/18 12:00,,Andrew Mahasay,Datateks,
AYCA-4SRFAN,2BAL-62,ALDI Store Development - Balgowlah - 1,Active,Supply Order Raised,2,FTTP – Type 3 (MT-LFN),NSW,Balgowlah,22/26 Roseberry St,2093,175478,B + E,1/22/19,Not Applicable,MWA - SOPR,WI Issued,3/14/18 12:00,,Lindy Chan,Datateks,
AYCA-53Y8BE,2WEL-01,Nolan-Montefiore - 1,Active,Supply Order Raised,4,FTTN,NSW,Montefiores,17 Nicholii St,2820,178065,B + D,1/31/19,Completed,MWA - RFQ,WI Issued,5/14/18 12:00,,Andrew Mahasay,Datateks,
