Customer,Contract ,Item Code,Item Name,Unit of Measure (UoM),Rate,Item Description,Xero Account

Lend Lease,Lend Lease - N2P (QLD),N2-01-01-01/01-01,Field Scoping - LOC Validation,Per LOC ID," $	8.00 ",Field Scoping - LOC Validation,45403
Lend Lease,Lend Lease - N2P (QLD),CW-02-05-01/01-01,Mortar or render repair to a pit,Each Pit," $	164.00 ",Mortar or render repair to a pit,45403

Lend Lease,Lend Lease - N2P (QLD),CW-02-05-02/01-01,Supply and install a cross arm to a pit,Each Pit," $	72.00 ",Supply and install a cross arm to a pit,45403

Lend Lease,Lend Lease - N2P (QLD),CW-02-05-03/01-01,Supply and install Manhole lid,Each Manhole," $	260.00 ",Supply and install Manhole lid,45403

Lend Lease,Lend Lease - N2P (QLD),CW-02-05-04/01-01,Mortar or render repair to a Manhole,Each Manhole," $	245.64 ",Mortar or render repair to a Manhole,45403

Lend Lease,Lend Lease - N2P (QLD),CW-02-05-05/01-01,Repair plastic pit with repair kit,Each Pit," $	45.19 ",Repair plastic pit with repair kit,45403

Lend Lease,Lend Lease - N2P (QLD),CW-03-01-01/01-01,Core bore,Each core bore," $	78.00 ",Core bore,45403

Lend Lease,Lend Lease - N2P (QLD),CW-05-01-02/01-01,Clear pipe blockage using high pressure water,Per blockage cleared," $	142.00 ",Clear pipe blockage using high pressure water,45403

Lend Lease,Lend Lease - N2P (QLD),CW-05-01-04/01-01,"Identify and repair a damaged and blocked duct all-inclusive in any surface (Excluding BO/RI, TM)",Per blockage cleared," $	300.00 ","Identify and repair a damaged and blocked duct all-inclusive in any surface (Excluding BO/RI, TM)",45403

Lend Lease,Lend Lease - N2P (QLD),CW-05-01-05/01-01,"Extra over for the repair of a secondary damaged or blocked duct all-inclusive in any surface (Excluding BO/RI, TM)",Per blockage cleared," $	142.00 ","Extra over for the repair of a secondary damaged or blocked duct all-inclusive in any surface (Excluding BO/RI, TM)",45403

Lend Lease,Lend Lease - N2P (QLD),CW-06-01-02/01-01,Breakout concrete surface material,"Per Square metre"," $	65.34 ",Breakout concrete surface material,45403

Lend Lease,Lend Lease - N2P (QLD),CW-06-01-03/01-01,Breakout asphalt or bitumen,"Per Square metre"," $	52.65 ",Breakout asphalt or bitumen,45403
