Customer,Contract ,Item Code,Item Name,Unit of Measure (UoM),Rate,Item Description,Xero Account
Mirait Technologies Australia,MTA - CRDF Cable Recovery,CR-01-01-01-01,Cable Recovery of all sizes,Per Metre," $	4.90 ",Cable Recovery of all sizes,45403
Mirait Technologies Australia,MTA - CRDF Cable Recovery,CF-02-02-06/01-02,Travel Allowance,Per Km," $	0.92 ",Travel Allowance,45403
Mirait Technologies Australia,MTA - CRDF Cable Recovery,CF-03-02-01/01-01,LAFHA,Per Day / Per Person," $	120.00 ",LAFHA,45403
