,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Amount,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/13/18,5/26/18,5/31/18,6/1/18,6/7/18,6/19/18,6/20/18,6/26/18,6/27/18,6/30/18,7/1/18,7/5/18,7/31/18,Grand Total,
"2ERP-20, Validation and GIS services"," $	9,452.00 ",,,,,,,,,,,,,,,,,,,,,,,,
"2LCT-20, Validation and GIS services"," $	1,151.00 ",,,,,,,,,,,,,,,,,,,,,,,,
"2MAN-20, Validation and GIS services"," $	4,926.50 ",,,,,,,,,,,,,,,,,,,,,,,,
2MIR-22 Validation and GIS Services," $	11,080.00 ",,,,,,,,,,,,,,,,,,,,,,,,
"2MIR-24, Validation and GIS services"," $	20,672.00 ",,,,,,,,,,,,,,,,,,,,,,,,
"2MIR-25, Validation and GIS services"," $	34,356.00 ",,,,,,,,,,,,,,,,,,,,,,,,
"2MIR-26, Validation and GIS services"," $	15,304.00 ",,,,,,,,,,,,,,,,,,,,,,,,
2MIR-29 GIS Services," $	3,000.00 ",,,,,,,,,,,,,,,,,,,,,,,,
"2MIR-31, Validation and GIS services"," $	12,840.00 ",,,,,,,,,,,,,,,,,,,,,,,,
2MON-25 Validation and GIS Services," $	9,760.00 ",,,,,,,,,,,,,,,,,,,,,,,,
"2MON-28, Validation and GIS services"," $	13,060.00 ",,,,,,,,,,,,,,,,,,,,,,,,
"2NDS-01, Validation and GIS services"," $	5,136.50 ",,,,,,,,,,,,,,,,,,,,,,,,
"2POR-20, Validation and GIS services"," $	1,467.50 ",,,,,,,,,,,,,,,,,,,,,,,,
"2SPW-20, Validation and GIS services"," $	8,924.00 ",,,,,,,,,,,,,,,,,,,,,,,,
"2SPW-21, Validation and GIS services"," $	7,472.00 ",,,,,,,,,,,,,,,,,,,,,,,,
"2WLH-20, Validation and GIS services"," $	2,547.50 ",,,,,,,,,,,,,,,,,,,,,,,,
"2WWA-20, Validation and GIS services"," $	2,088.50 ",,,,,,,,,,,,,,,,,,,,,,,,
AYCA‐52JYBU NBN Tech Choice 7 Buggy Crescent McKellar," $	5,714.37 ",,,,,,,,,,,,,,,,,,,,,,,,
ICQ-315 IPT2073 WSU Parramatta Square Western Lead-in," $	27,168.08 ",,,,,,,,,,,,,,,,,,,,,,,,
ICQ-459 IPT2506 NSW HEALTH AUBURN HOSPITAL  ," $	13,667.57 ",,,,,,,,,,,,,,,,,,,,,,,,
"INC000007044511 - Lot 857, 93 Leumeah Street, Sanctuary Point, NSW 2540"," $	2,590.00 ",,,,,,,,,,,,,,,,,,,,,,,,
"INC000007076078 - Lot 10, 15 Moles Street, Albion Park,"," $	1,295.00 ",,,,,,,,,,,,,,,,,,,,,,,,
"INC000007228306 - 2 Lovelle St, Moss Vale, NSW"," $	2,849.00 ",,,,,,,,,,,,,,,,,,,,,,,,
"INC000007271428 – Lot 12, 21 Sharwood Pl, Gerringong"," $	2,849.00 ",,,,,,,,,,,,,,,,,,,,,,,,
"INC000007302762- Lot 81, 70 Point St, Bulli"," $	1,036.00 ",,,,,,,,,,,,,,,,,,,,,,,,
"INC000007403862 –  49 RACECOURSE RD, ORANGE"," $	1,360.00 ",,,,,,,,,,,,,,,,,,,,,,,,
MW20104 2GOS-06 LNDN Koala," $	1,925.79 ",,,,,,,,,,,,,,,,,,,,,,,,
MW20116 - AYCA-3I8XUO - 2RDL-60 - Highgardens – 1- EXTERNAL," $	9,603.87 ",,,,,,,,,,,,,,,,,,,,,,,,
MW20154 - 2WLG-01 & 02 , $	254.55 ,,,,,,,,,,,,,,,,,,,,,,,,
MW20318 - AYCA-35AM2J - NENSW0608 - Yarrandale Road," $	2,317.00 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW20367 - AYCA-3H6ZBG - 2NRN-03 - 61 Smeaton Grange Rd,"," $	1,574.16 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW20385 - AYCA-38OMCL - 6 Hepher Rd, Campbelltown"," $	1,702.74 ",,,,,,,,,,,,,,,,,,,,,,,,
MW20436 - AYCA-3B8YY0 - Warrana Place – 2," $	10,142.71 ",,,,,,,,,,,,,,,,,,,,,,,,
MW20495 - 2CBT-09 - MPS-01 - FTTN-FTTB Construction ," $	12,574.74 ",,,,,,,,,,,,,,,,,,,,,,,,
MW20507 - AYCA-2Y5DX4 - Bridgeland Investment," $	3,486.54 ",,,,,,,,,,,,,,,,,,,,,,,,
MW20532 - 2WYO-01 - AYCA-47OSBM - Pacific Business Centre, $	549.22 ,,,,,,,,,,,,,,,,,,,,,,,,
MW20554 - AYCA-2DO5HN - MNJG 145 Princes Hwy Dapto - 1, $	235.00 ,,,,,,,,,,,,,,,,,,,,,,,,
MW20585 - AYCA-3KUUY6 - 2WOY-09 - Brittwood ," $	9,914.77 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW20604 - AYCA-46I5YX - 878 Pacific Hwy, Lisarow"," $	6,348.90 ",,,,,,,,,,,,,,,,,,,,,,,,
MW20615 - AYCA-3ZMQUE - Grove Family Trust – 1, $	235.00 ,,,,,,,,,,,,,,,,,,,,,,,,
MW20627 - AYCA-40UYFT - 2PKE-06 - Berkeley ," $	2,095.98 ",,,,,,,,,,,,,,,,,,,,,,,,
MW20628 - AYCA-32PR0X - 2ROU-03 - 21 Hezlett Rd Kellyville 1," $	3,682.66 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW20648-2KEL-03 -AYCA-3BH4IQ - Lot A, 8 Merriville Road - 1", $	935.30 ,,,,,,,,,,,,,,,,,,,,,,,,
MW20680 - 2BLK-02/07 - MPS-032 & MPS-010," $	1,501.72 ",,,,,,,,,,,,,,,,,,,,,,,,
MW20682 - AYCA-3NDQ7T - 2ROU-04 - 67 Barry Street," $	4,410.54 ",,,,,,,,,,,,,,,,,,,,,,,,
