,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Forecast Rev By Month,,,,,,,,,,,,,,,,,,
,Sum of Total Revenue,Column Labels,,,,,,,,,,,,,,,,,
,Row Labels,A401/Greenfield,A401/Minor works,A417 Greenfield MDU,AARnet,Craig Comms,Field Solutions,NBN Assurance Sydney,NBN Assurance Wagga,NBN FttC Drops,VPL,VPL New Devs,Grand Total,,,,,,
,A401/Minor works,,1,,,,,,,,,,,,,,,,
,A417 Greenfield MDU,9,12,,,,,,,,,,,,,,,,
,Feb-18,18,32,,,,,,,,,,,,,,,,
,A401/Greenfield,9,9,,,,,,,,,,,,,,,,
,A401/Minor works,,1,,,,,,,,,,,,,,,,
,A417 Greenfield MDU,8,10,,,,,,,,,,,,,,,,
,NBN Assurance Sydney,1,6,,,,,,,,,,,,,,,,
,NBN Assurance Wagga,,6,,,,,,,,,,,,,,,,
,Jan-18,20,23,,,,,,,,,,,,,,,,
,A401/Greenfield,3,4,,,,,,,,,,,,,,,,
,A401/Minor works,,1,,,,,,,,,,,,,,,,
,A417 Greenfield MDU,17,18,,,,,,,,,,,,,,,,
,Jul-17,12,24,,,,,,,,,,,,,,,,
,A401/Greenfield,12,12,,,,,,,,,,,,,,,,
,A417 Greenfield MDU,,12,,,,,,,,,,,,,,,,
,Jun-18,36,38,,,,,,,,,,,,,,,,
,A401/Greenfield,8,10,,,,,,,,,,,,,,,,
,A401/Minor works,1,1,,,,,,,,,,,,,,,,
,A417 Greenfield MDU,24,24,,,,,,,,,,,,,,,,
,VPL New Devs,3,3,,,,,,,,,,,,,,,,
,Mar-18,28,78,,,,,,,,,,,,,,,,
,A401/Greenfield,6,7,,,,,,,,,,,,,,,,
,A401/Minor works,2,2,,,,,,,,,,,,,,,,
,A417 Greenfield MDU,20,20,,,,,,,,,,,,,,,,
,Field Solutions,,1,,,,,,,,,,,,,,,,
,NBN Assurance Sydney,,35,,,,,,,,,,,,,,,,
,NBN Assurance Wagga,,13,,,,,,,,,,,,,,,,
,May-18,35,34,,,,,,,,,,,,,,,,
,A401/Greenfield,12,11,,,,,,,,,,,,,,,,
,A417 Greenfield MDU,21,21,,,,,,,,,,,,,,,,
,VPL New Devs,2,2,,,,,,,,,,,,,,,,
