,,,"$116,745.60","$735,167.78",,,,,Days average for PC Accpetance,,"$169,644.79",$0.00,,,,,,,,,,,,,,,,
Date,PM,Site Name,Pending on Outcome,Quoted Sum Won,Comments,PC Request Submit Date,PC Due Date,PC Cert issued,Date PC Approved,Day difference between PC Request and PC Granted,Quoted Sum Loss,Tech Choices Projects Yet award,Won Less than $2K,Won Greater than 2K to 5K,Won Greater than 5K,,,,Row Labels,Count of Quoted Sum Won,Count of Won Less than $2K,Count of Won Greater than 2K to 5K,Count of Won Greater than 5K,Total Jobs Per PM,Win % per PM,,,
7/26/17,Shaher Aslan,AYCA-4IDMPC- 9 Fitzpatrick St - 1,,"$8,099.36",,,,,,,,,,,,,,,,,,,,,,,,
8/4/17,Andrew Mahassy,AYCA-47PV52 - Non Standard Builds - 22-24 Barry Road,,"$17,870.10",,,,,,,,,,,,,,,,,,,,,,,,
8/4/17,Dave Yeomans,AYCA-49I4SO - 72 Brolgan Road,,"$7,731.53",,,,,,,,,,,,,,,,,,,,,,,,
8/4/17,Dave Yeomans,AYCA-48HYBB - 89 Hammond Avenue,,"$6,447.82",,,,,,,,,,,,,,,,,,,,,,,,
8/4/17,Dave Yeomans,AYCA-461JCF - 8 Creole Road,,"$5,449.38",,,,,,,,,,,,,,,,,,,,,,,,
8/9/17,Shaher Aslan,AYCA-4H1TB6 - Sampson St - 1,,,,,,,,,"$8,264.00",,,,,,,,,,,,,,,,,
8/11/17,Andrew Mahassy,AYCA-476RM9 - Non Standard Builds - 87-91 Campbell St,,"$8,773.94",,,,,,,,,,,,,,,,,,,,,,,,
8/29/17,Shaher Aslan,AYCA-4K6BDG - Melito Drive - 1,,"$8,291.47",,,,,,,,,,,,,,,Count of Site Name,Count of Quoted Sum Loss,Count of Quoted Sum Won,Count of Pending on Outcome,,,,,,
8/30/17,Ertan Cicek,MW20865 - 2NWR-03 - AYCA-2K3SGD - Elian Crescent 1.,,"$8,598.36",,,,,,,,,,,,,,,127,24,85,18,,,,,,
8/30/17,Shaher Aslan,MW21086 - 2ORG-02 - AYCA-4BZJJB - 49 Moulder St - 2,,,,,,,,,"$7,010.18",,,,,,,,,19%,67%,14%,,,,,,
9/7/17,Mark Leal,MW21041 - 2OBA-20 - AYCA-4L6PEC - NSB - Old Bar Survey,,"$1,430.00",,,,,,,,,,,,,,,,,,,,,,,,
9/5/17,Shaher Aslan,MW21270 - 2BTH-01 - AYCA-47Y3BF - Arndilly,,"$6,664.39",,,,,,,,,,,,,,,,,,,,,,,,
9/7/17,Ertan Cicek,MW21249 - AYCA-4F6JI6-2WLG-08-NSB - 72-74 Cliff Road,,"$13,338.48",,,,,,,,,,,,,,,,,,,,,,,,
9/6/17,Ertan Cicek,MW21226 - 2MSV-02 - AYCA-3PR30G - 12-16 Watson Road,,,,,,,,,"$4,809.35",,,,,,,,,,,,,,,,,
8/25/17,Shaher Aslan,MW21209 - AYCA-4K7VB2 -2TWH-05 - River Views – 1,,"$6,516.00",,,,,,,,,,,,,,,,,,,,,,,,
9/7/17,Michael Tram,"MW21266 - OOMWI - 2NRN-03 - AYCA-3MUJP4 - 11 McPherson Rd, Smeaton Grange – 1 ","$10,817.41",,,,,,,,,,,,,,,,,,,,,,,,,
