Item Number,Contract,Project Name,Document Name,Issue,Date Submitted,Response Date,Number of days since response submission,Number of days from payment Schedule to payment,Variation Claim Amount,Total Payment Claim Amount,Comments,,Date,,,,Clause 15.9 & 19.7 Payment 15 days from submission of payment claim,The average payment date timeframe from submission of payment claim to payment in the last 7 months  is 26 days.  Contracted 15 days
722,A417 MDU New Devs,MW22223-AYCA-4S0RD5-2RIV-03-14 Argowan Rd Schofields,Variation Proposal,Approved,5/8/18,5/10/18,2d,,,,,,,,,,,
724,A401 Greenfields,"MW22011-AYCA-4GRO21-2RTC-20-55 Kingston Parade, Heatherbae",Request for PC,Approved,4/26/18,5/8/18,12d,,,,,,,,,,,
725,A401 Greenfields,"MW22011-AYCA-4GRO21-2RTC-20-55 Kingston Parade, Heatherbae",Variation Proposal,Approved,5/9/18,5/16/18,7d,,,,,,,,,,,
726,A417 MDU New Devs,"MW21835-AYCA-4MJ7W3-2WRO-63-8-10 Park Ave, Waitara",Variation Proposal,Approved,5/15/18,5/29/18,14d,,,,,,,,,,,
727,A417 MDU New Devs,"MW21835-AYCA-4MJ7W3-2WRO-63-8-10 Park Ave, Waitara",Request for PC,Approved,5/10/18,5/23/18,13d,,,,,,,,,,,
728,A417 MDU New Devs,MW22032-AYCA-4C48KZ-2MDG-01-4 Lewis Street Mudgee,Payment Claim,Payment Schedule Received,5/10/18,5/11/18,1d,5d,,,Payment Date 15/05/18,,5/15/18,,,,,
729,A417 MDU New Devs,"MW22057 - AYCA-4EOA07-2MIR-24 - 298-300 Taren Point Rd, Caringbah",Variation Proposal,Approved,5/10/18,5/23/18,13d,,,,,,,,,,,
730,A417 MDU New Devs,"MW22243 - AYCA-4EUBZX - 2PTH-06 - 82 Cox Avenue, Penrith ",Variation Proposal,Approved,5/10/18,5/14/18,4d,,,,,,,,,,,
731,VPL - DCMA,VPL - 2ROU-04-AYCA-39XZGZ,Payment Claim,Payment Schedule Received,5/10/18,6/8/18,29d,,,,Payment date 8/06/18,,,,,,,
732,VPL - DCMA,VPL - 2BUR-03-AYCA-2EBL4P,Payment Claim,Payment Schedule Received,5/10/18,6/8/18,29d,,,,Payment date 8/06/18,,,,,,,
733,A401 Greenfields,MW22239 -AYCA-552R88 -  2KTB-01 - Lot33-36 The Escarpments - 1,Payment Claim,Payment Schedule Received,5/11/18,5/31/18,20d,0ms,,,Payment Date 31/05/18,,5/31/18,,,,,
734,A417 MDU New Devs,"MW22017-AYCA-413V2N-2HOM-03-16 - 20 Smallwood Ave, Homebush",Payment Claim,Payment Schedule Received,5/11/18,5/15/18,4d,2d,,,payment Date 17/5/18,,5/17/18,,,,,
735,A417 MDU New Devs,"MW22037-AYCA-53063P-2LIV-03-23 Mayberry Cres, Liverpool",Payment Claim,Payment Schedule Received,5/25/18,5/29/18,4d,2d,,,Payment date 31/5/18,,5/31/18,,,,,
736,A417 MDU New Devs,"MW21861-AYCA-4GPKZN-2RED-03-713-717 Elizabeth St, Waterloo",Payment Claim,Payment Schedule Received,5/11/18,5/16/18,5d,1d,,,payment Date 17/5/18,,5/17/18,,,,,
737,A417 MDU New Devs,"MW21967-AYCA-4UKN6A-2WET-65-727 The Horsley Dr, Smithfield",Payment Claim,Payment Schedule Received,5/11/18,5/16/18,5d,1d,,,payment Date 17/5/18,,5/17/18,,,,,
738,A417 MDU New Devs,"MW22022--AYCA-3TBATE-2PAR-6111 Hassall St, Paramatta",Payment Claim,Payment Schedule Received,5/17/18,5/21/18,4d,1d,,,payment Date 22/5/18,,5/22/18,,,,,
