,,,,,,,,,,
,,,,,,,,,,
,Row Labels,Sum of Total Revenue,,,,,Row Labels,Sum of Debit,,
,MW21289 -  2WAG-05 - AYCA-45YGSM - 138 Elizabeth Avenue Forest Hill,"$14,529.22",,,,,,,,
,MW21909 - AYCA-32NN4T -2MSV-05 -Blue Gum Rd Estate – 1,"$25,231.19",,,,,,,,
,"MW21380 - 2YON-01 - AYCA-4MRFUW - 1 Patterson Avenue, Young – 1","$15,192.95",,,,,,,,
,MW21521-2ROU-02-AYCA-1OHQX6 -Lake Promenade - Building C- EXTERNAL,"$12,745.04",,,,,,,,
,"MW21537-AYCA-424B5V- 2LID-05- 9-13 GELIBOLU PARADE, AUBURN","$5,563.66",,,,,,,,
,"MW21591 - AYCA-3KWVLI - 2ROU-03 - 4 Curtis Road, Kellyville - 1","$11,973.66",,,,,,,,
,"MW21506 - AYCA-4TCZPJ-2MIL-20-LOT 421 & 422, PROGRESS CIRCUIT","$3,069.50",,,,,,,,
,MW21639-AYCA-4SZLC6 -2PTH-02- William Younis - 1,"$2,505.86",,,,,,,,
,MW21408 - AYCA-4GCT7O - 2ROC-04 - Baxter International Hotel - 1 ,"$9,751.00",,,,,,,,
,MW21512 - 2NLT-09 - AYCA-4IUR86 -Clarendene - 1,"$10,804.11",,,,,,,,
,MW21551 - 2KNS-04 - AYCA-4EN7KA - Lewis & Co - 1,"$15,636.25",,,,,,,,
,MW21703 - AYCA-41SAXG - 2MIL-04 - Stage 2 Lagana,"$1,404.18",,,,,,,,
,MW21583 - AYCA-497W67- 9BLC-04- Hillside Villas Block,"$6,237.77",,,,,,,,
,MW21507 - AYCA-4Q1LKQ - 2WAG-05 - The Mill Commercial Development - 1,"$10,338.38",,,,,,,,
,"INC000006813370 – UNIT 1 15 DALGETTY ST, NARRANDERA ","$1,197.64",,,,,,,,
,"INC000007052036 – 29 Grosvenor St, Narrandera",$512.57,,,,,,,,
,"INC000007238836 - Lot 4, 100 Beach Rd, Batemans Bay, NSW",$128.14,,,,,,,,
,"INC000007003327 – UNIT 4 14 WEWAK ST, ASHMONT ",$256.29,,,,,,,,
,"INC000007272347 – 21 APEX AV, MOUNT VICTORIA",$768.86,,,,,,,,
,"INC000007034536 - Unit 129, 2 Windjana Street, Harrison, ACT","$1,153.29",,,,,,,,
,"INC000007203040 – 6 EDWARDS ST, KATOOMBA ",$640.71,,,,,,,,
,"INC000007130519 – 17 APEX AV, MOUNT VICTORIA",$320.36,,,,,,,,
,"INC000007193370 – 2-4 GORDON RD, LEURA",$320.36,,,,,,,,
,"02470125 - Lot 1, 42 Oxley Drive, Bowral, NSW 2576 (ROBINWOOD COTTAGE)","$3,625.46",,,,,,,,
