,,,,,,,,,,
,,,,,,,,,,
,Row Labels,Sum of Total Revenue,,,,,Row Labels,Sum of Debit,,
,MW21244 - AYCA-4J7JTW - 2LIV-03 - Passefield St,"$6,003.39",,,,,,,,
,MW21281 - AYCA-3K4RCM - 2RIV-03 - Marsden Park Tonzat Development - 2,"$1,960.00",,,,,,,,
,MW21293 - 2LIV-63 - AYCA-4GNO0E - Coopers Paddock - 1-  INTERNAL ,"$2,460.69",,,,,,,,
,MW21381 - 2LIV-03 - AYCA-4B5X29 - 209-213 Memorial Ave - 1- EXTERNAL,"$5,054.65",,,,,,,,
,MW20150 - 2BLK-06 - AYCA-3W8B2F - 6 Old Church Lane ,$514.97,,,,,,,,
,MW21145 - AYCA-4KU6BE -OOMWI - 2WET-20 - Seniors Housing,"$4,631.90",,,,,,,,
,MW21270 - 2BTH-01 - AYCA-47Y3BF - Arndilly,"$6,664.39",,,,,,,,
,MW21285 - 2MSV-04 - AYCA-496F3H - 8 Bendooley Street Bowral,"$15,319.76",,,,,,,,
,"MW21386 - AYCA-3BBYF2 - 2PTH-05 - 40-50 Union Rd, Penrith  EXTERNAL","$3,974.62",,,,,,,,
,MW21373 - 2WET-65 - AYCA-4O5GBC - 106 - 108 Chifley St - Smithfield - 1- EXTERNAL,"$15,322.22",,,,,,,,
,"MW21392 - 2MIL-20 - AYCA-4NGNW3 - LOT 421 & 422, 10-12 PROGRESS CIRCUIT","$2,044.50",,,,,,,,
,MW21322 - 2SHH-02 - AYCA-4FHB4D - 3 Bellbird Close Barrack Heights,"$10,126.73",,,,,,,,
,MW21416 - 2ORG-05 - AYCA-4H25NY - 12 Wakeford – 1,"$8,637.20",,,,,,,,
,MW21438 - 2ORG-01 - AYCA-4J2IIB - Majestic Way - 1,"$5,568.32",,,,,,,,
,MW21459 -  AYCA-4DWSZZ -2OBA-20 -NSB - 81 Albatross Way,"$13,975.96",,,,,,,,
,MW20076 - 2NWR-03 - AYCA-4SHR9U -2NWR-03 -Sequacious - 1,"$1,866.03",,,,,,,,
,MW21488 - 2ROU-03 - AYCA-4877L8 - Non Standard Builds - Windon Avenue,"$2,284.97",,,,,,,,
,MW21495 -AYCA-4UUWX6 - NSB - 13 Popes Rd Woonona - SURVEY ,"$1,350.00",,,,,,,,
,MW21505-AYCA-2AS459-2LID-05 -22-26 Ann Street Lidcombe,"$13,576.98",,,,,,,,
,Jan-18,"$178,246.91",,,,,,,,
,MW20777 - 2HBD-21 - AYCA-46PUI1 - 724 Pittwater Rd,"$5,919.71",,,,,,,,
,MW21056 - 2KNS-04 - AYCA-4BYB3Q -33 Dunning Ave - 1- EXTERNAL,"$16,804.63",,,,,,,,
,MW21153 - 2NRN-03 - AYCA-4EAKM1 - 63 SGR - 1 - INTERNAL,"$1,680.00",,,,,,,,
,MW21261 - AYCA-30PYA6 - 2MIL-01 - CEO St Francis College - 1,$280.00,,,,,,,,
,MW21324 - AYCA-4L3K9Q - 2GLB-01 - Kidd Crt - 1 ,"$2,188.67",,,,,,,,
,MW21369 - AYCA-4EEPL6 - 2KNS-03 - Rosebery Park - 3 ,"$8,554.09",,,,,,,,
,MW21384 - 2PEN-65  - AYCA-4LWMQ0 - 271 Dunmore Street - 1- EXTERNAL,"$5,186.67",,,,,,,,
,MW20115 - 2PTH-02 - AYCA-4OSDE9 - ONYX - 1- EXTERNAL,"$2,614.25",,,,,,,,
,MW21398 - 2MSV-03 - AYCA-3MIX48 - Sutherland Park Estate - 1,"$12,686.40",,,,,,,,
,MW21423 - 9QBN-03 - 16 Ellerton Drive Queanbeyan NSW,"$70,587.47",,,,,,,,
,MW21287 - AYCA-4BSSM6 - 2WAG-10 - 10 Fisher Place Lloyd,"$4,882.83",,,,,,,,
,MW21457 - AYCA-4QLE5J -2NEW-63 -Ara on Park - 1-EXTERNAL,"$8,727.17",,,,,,,,
,MW21467 - 9QBN-03- AYCA-4QEPB9- Ian & Cathy Darman - 1- EXTERNAL,"$3,609.62",,,,,,,,
,MW21464 - 2NRN-03 - AYCA-4EAKM1-63 SGR - 1- EXTERNAL,"$8,608.96",,,,,,,,
,MW21549-2LIV-03-AYCA-48U5AE-Flat Building - 1,"$5,169.83",,,,,,,,
,MW21539 - AYCA-4SJ1RQ - 2WLG-05 - 18 Armstrong St West Wollongong NSW 2500 -INTERNAL,"$3,019.73",,,,,,,,
,"MW21540-2LIV-02- AYCA-3DOI9R 166/176-178 Terminus ST ,Liverpool ","$5,209.19",,,,,,,,
,"MW21538-2PAR-63-AYCA-44DU8G 8-10 FRASER ST, WESTMEAD","$2,245.75",,,,,,,,
,MW21613-AYCA-4M07QT- 2CBT-06-12 Capertee St Ruse,"$1,120.00",,,,,,,,
,MW21611-AYCA-3K2CFZ -2CBT-05-Modco Boarding House 1,"$3,819.47",,,,,,,,
,MW21706 - AYCA-4IYJ4J -2PTH-02 - CRONIN EQUITY PTY LTD - 1,$485.33,,,,,,,,
,"MW21552 - AYCA-4SJ1RQ - 2KNS-21 - 18 Armstrong St West Wollongong, Externals","$1,967.14",,,,,,,,
,MW21328 - AYCA-40UXV5 - 2PTH-02 - 163 Parker St - South Penrith - 1-  INTERNAL,"$2,880.00",,,,,,,,
,Jun-18,"$1,559.83",,,,,,,,
,MW20116 - AYCA-3I8XUO - 2RDL-60 - Highgardens – 1- EXTERNAL,"$1,559.83",,,,,,,,
,Apr-18,"$48,868.40",,,,,,,,
,"MW21819-2BTH-02-AYCA-4KXY8F-1 Wark Parade, Windradyne","$1,240.76",,,,,,,,
,"MW21919-2KEL-07-AYCA-35Q2VE-9 Fairway Drive, Kellyville","$8,288.41",,,,,,,,
,"MW21884-2LIV-03- AYCA-47OO3O- 188-190 Moore st, Liverpool",$857.61,,,,,,,,
,"MW21876-2BLK-03 - AYCA-21PVTM - 5 Second Avenue, Blacktown",$592.62,,,,,,,,
,"MW21923 - AYCA-4AOOM9 - 2NRN-01 - 12 - 13 SPRINGS RD, SPRING FARM","$1,516.91",,,,,,,,
,"MW21820-AYCA-4W4BKH-2HOM-02-38 Weeroona Rd, Strathfield","$5,741.50",,,,,,,,
,"MW21857-AYCA-442ZEA- 2PAR-63-2 Good st, Westmead","$1,825.19",,,,,,,,
,"MW21921-AYCA-4MOKVP-2TAR-01-22 Elwell CL, Beresfield","$2,010.27",,,,,,,,
,MW21875 - AYCA-42N8QF-  2PEN-67- Macklin 38 ,$515.58,,,,,,,,
,"MW21946-2COR-04-AYCA-4XKUSR-13 Popes Rd, Woonona","$9,706.10",,,,,,,,
,"MW21827-2COR-09-AYCA-4O03IQ-17 Ryan Street, Balgownie","$1,924.61",,,,,,,,
,"MW21861-2RED-03-AYCA-4GPKZN-713-717 Elizabeth St, Waterloo","$1,568.02",,,,,,,,
,"MW21821-2NRN-10-AYCA-52OMAH-18 Bluett Dr, Smeaton Grange Int","$1,400.00",,,,,,,,
,MW21946-AYCA-4XKUSR-13 Popes Rd Woonona,"$9,706.10",,,,,,,,
,"MW21971 -AYCA-4X6TWU  2LID-08 - -43 - 47 Harrow Rd, Auburn",$279.01,,,,,,,,
,"MW21967-AYCA-4UKN6A-2WET-65-727 The Horsley Dr, Smithfield",$674.33,,,,,,,,
,"MW21970-2PEN-66-AYCA-4YZGFK-51 Boronia St, South Wentworthville","$1,021.38",,,,,,,,
,May-18,"$5,639.40",,,,,,,,
,MW21947-2MIL-01-AYCA-54T32P-Ryan & Burrows Avenue,"$3,241.78",,,,,,,,
,"MW21924-2ROU-33-AYCA-41E0L5-33 FOXALL RD, KELLYVILLE","$2,397.62",,,,,,,,
, ,,,,,,,,,
,(blank),,,,,,,,,
,Grand Total,"$4,033,775.33",,,,,,,,
