Contract,Project Title,Location,,Inv No.,Date Invoice Created,Date Project Completions handed over,PC Request Date Submitted,Variation Request submitted,Variation Approval,PC Due,Payment Date,Month Claimed,Actual Payment Date,maximoOrderNumber,FSAM/MPS,Suburb,Amount,Variation,Total Revenue,GST Inc,DJC Cost,Internat DJC Cost,Total Cost,Margin,%,NBN PO/PM,Project Quote Submitted,Project Award Date,Days to Award,Customer required date,Difference CRD to Award
VPL New Devs,2NRN-05-AYCA-4B5K39,Sydney,,Inv 13656,23/05/2018,14/05/2018,14/05/2018,18/05/2018,21/05/2018,21/05/2018,08/06/2018,May-18,Jun-18,,2NRN-05-AYCA-4B5K39,Narrellen,"$1,897.35",,"$1,897.35","$2,087.09",$443.04,$208.00,$651.04,"$1,246.31",66%,Adnan Khabbaz,Direct Award,20/04/2018,,04/06/2018,45d
VPL New Devs,"2PET-67-AYCA-4W7GEZ,",Sydney,,,,22/05/2018,22/05/2018,,,05/06/2018,19/06/2018,May-18,Jun-18,,"2PET-67-AYCA-4W7GEZ,",Petersham,"$46,564.38",,"$46,564.38","$51,220.82","$27,635.11",,"$27,635.11","$18,929.27",41%,Adnan Khabbaz,Direct Award,05/04/2018,,12/04/2018,7d
VPL New Devs,2PET-69-AYCA-3G34XT,Sydney,,,,25/06/2018,25/06/2018,,,09/07/2018,23/07/2018,Jun-18,Jul-18,,2PET-69-AYCA-3G34XT,Petersham,"$30,911.41",,"$30,911.41","$34,002.55","$22,810.11",,"$22,810.11","$8,101.30",26%,Adnan Khabbaz,Direct Award,05/04/2018,,30/04/2018,25d
VPL New Devs,2ROU-04-AYCA-39XZGZ,Sydney,,Inv 13591,10/05/2018,26/04/2018,26/04/2018,08/05/2018,10/05/2018,10/05/2018,08/06/2018,Apr-18,Jun-18,,2ROU-04-AYCA-39XZGZ,Rouse Hill,"$5,918.97",,"$5,918.97","$6,510.87",,"$1,000.00","$1,000.00","$4,918.97",83%,Adnan Khabbaz,Direct Award,11/04/2018,,08/05/2018,
A417 Greenfield MDU,"MW22091-AYCA-4MNF1P-2NRN-10-11 & 15 Holborn Circuit, Gregory Hills",Sydney,,Inv 13751,20/06/2018,29/05/2018,29/05/2018,31/05/2018,05/06/2018,08/06/2018,19/06/2018,May-18,Jun-18,,"MW22091-AYCA-4MNF1P-2NRN-10-11 & 15 Holborn Circuit, Gregory Hills",Gregory Hills,"$4,140.32","$7,286.54","$11,426.86","$12,569.55","$6,489.44",,"$6,489.44","$4,937.42",43%,Nabeel Jaimon,Direct Award,24/04/2018,,31/05/2018,37d
A401/Greenfield,"MW22288-AYCA-4R7UP6-2MIL-04-40 Government Rd, Hinchinbrook",Sydney,,Inv 13691,06/06/2018,16/05/2018,16/05/2018,18/05/2018,23/05/2018,05/06/2018,05/06/2018,May-18,Jun-18,,"MW22288-AYCA-4R7UP6-2MIL-04-40 Government Rd, Hinchinbrook",Hinchinbrook,"$8,639.27","-$2,352.55","$6,286.72","$6,915.39","$1,143.61",$704.00,"$1,847.61","$4,439.11",71%,Andrwe Mahassy,19/04/2018,24/04/2018,5d,23/05/2018,29d
A417 Greenfield MDU,MW22309-AYCA-3V5BM6-2DRU-61-197-199 Lyons Rd Drummoyne,Sydney,,,,27/06/2018,27/06/2018,02/07/2018,,11/07/2018,25/07/2018,Jun-18,Jul-18,,MW22309-AYCA-3V5BM6-2DRU-61-197-199 Lyons Rd Drummoyne,Drummoyne ,"$1,734.40","$13,956.89","$15,691.29","$17,260.42","$9,740.19",,"$9,740.19","$5,951.10",38%,Ertan Cicek,Direct Award,24/04/2018,,23/05/2018,29d
A417 Greenfield MDU,"MW22296-AYCA-4RB8MD-2LID-03-2 Clarke St, Berala",Sydney,,,,,30/07/2018,,,,,Jul-18,Jan-00,,"MW22296-AYCA-4RB8MD-2LID-03-2 Clarke St, Berala",Berala,$742.80,,$742.80,$817.08,,,$0.00,$742.80,100%,Ertan Cicek,Direct Award,24/04/2018,,29/06/2018,66d
A401/Greenfield,MW22239 - AYCA-552R88 - 2KTB-01 - Lot33-36 The Escarpments - 1,Sydney,,Inv 13690,30/05/2018,30/04/2018,30/04/2018,,,10/05/2018,31/05/2018,Apr-18,May-18,,MW22239 - AYCA-552R88 - 2KTB-01 - Lot33-36 The Escarpments - 1,Katoomba,"$4,434.76",,"$4,434.76","$4,878.24",,,$0.00,"$4,434.76",100%,Sogand Mohtat,16/04/2018,26/04/2018,10d,18/05/2018,22d
A417 Greenfield MDU,MW22287-AYCA-4LQOVR-2KEL-08-25 Water Creek Boulevard Kellyville,Sydney,,inv 13773,29/06/2018,06/06/2018,07/06/2018,07/06/2018,08/06/2018,21/06/2018,22/06/2018,Jun-18,Jun-18,,MW22287-AYCA-4LQOVR-2KEL-08-25 Water Creek Boulevard Kellyville,Kellyville,$363.70,$599.79,$963.49,"$1,059.84",,,$0.00,$963.49,100%,Ertan Cicek,Direct Award,27/04/2018,,15/06/2018,49d
A417 Greenfield MDU,MW22301-AYCA-541Y7O-2WAU-20-728-730 Beechwood,Nth Coast,,,,29/06/2018,29/06/2018,,,13/07/2018,27/07/2018,Jun-18,Jul-18,,MW22301-AYCA-541Y7O-2WAU-20-728-730 Beechwood,Wauchope,"$1,370.10","$5,576.54","$6,946.64","$7,641.30","$4,422.17",,"$4,422.17","$2,524.47",36%,Ertan Cicek,Direct Award,27/04/2018,,16/07/2018,80d
A417 Greenfield MDU,MW22319-AYCA-33L9HP-2BAN-64-Restwell & Leonard St Bankstown,Sydney,,,,,30/07/2018,,,,,Jul-18,Jan-00,,MW22319-AYCA-33L9HP-2BAN-64-Restwell & Leonard St Bankstown,Bankstown,"$2,255.04",,"$2,255.04","$2,480.54",,,$0.00,"$2,255.04",100%,Ertan Cicek,Direct Award,27/04/2018,,29/06/2018,63d
A417 Greenfield MDU,"MW22334-AYCA-3V2064-2WAG-01-29 Gibson St, Boorooma",Sth NSW,,,,,30/07/2018,,,,,Jul-18,Jan-00,,"MW22334-AYCA-3V2064-2WAG-01-29 Gibson St, Boorooma",Boorooma,"$4,344.17",,"$4,344.17","$4,778.59",,,$0.00,"$4,344.17",100%,Ertan Cicek,Direct Award,27/04/2018,,10/07/2018,74d
NBN Assurance Sydney,"INC000007540081 - Lot 4, 126 Aberford Street, Coonamble",NSW,,Inv 13544,30/04/2018,26/03/2018,26/03/2018,,,,05/07/2018,Mar-18,Jul-18,,"INC000007540081 - Lot 4, 126 Aberford Street, Coonamble",Coonamble,"$1,550.47",,"$1,550.47","$1,705.52",,$419.33,$419.33,"$1,131.14",73%,Tony Gabriel,,,,,
NBN Assurance Sydney,MW22424 - INC000007552115 - 13 NETTLETON DR LIGHTNING RIDGE,NSW,,Inv 13545,30/04/2018,26/03/2018,26/03/2018,,,,22/05/2018,Mar-18,May-18,,MW22424 - INC000007552115 - 13 NETTLETON DR LIGHTNING RIDGE,Lighting Ridge,$256.28,,$256.28,$281.91,,$41.14,$41.14,$215.14,84%,Tony Gabriel,,,,,
NBN Assurance Sydney,"MW22423 - INC000007549981 - LOT 24, 11 GREENE AV, COONAMBLE",NSW,,Inv 13546,30/04/2018,26/03/2018,26/03/2018,,,,22/05/2018,Mar-18,May-18,,"MW22423 - INC000007549981 - LOT 24, 11 GREENE AV, COONAMBLE",Villawood,$256.28,,$256.28,$281.91,,$44.14,$44.14,$212.14,83%,Tony Gabriel,,,,,
NBN Assurance Sydney,"INC000007494309 - LOT 4, 9 DUBBO ST, COONAMBLE",NSW,,Inv 13547,30/04/2018,26/03/2018,26/03/2018,,,,05/07/2018,Mar-18,Jul-18,,"INC000007494309 - LOT 4, 9 DUBBO ST, COONAMBLE",Coonamble,$640.70,,$640.70,$704.77,,$176.56,$176.56,$464.14,72%,Tony Gabriel,,,,,
NBN Assurance Sydney,"MW22422 - INC000007550501- 170 EDWARD ST, ORANGE",NSW,,Inv 13548,30/04/2018,27/03/2018,27/03/2018,,,,22/05/2018,Mar-18,May-18,,"MW22422 - INC000007550501- 170 EDWARD ST, ORANGE",Orange,$640.70,,$640.70,$704.77,,$154.49,$154.49,$486.21,76%,Tony Gabriel,,,,,
NBN Assurance Wagga,INC000007482861 - 52-58 WARATAH ST COWRA,NSW,,Inv 13549,30/04/2018,28/03/2018,28/03/2018,,,,19/06/2018,Mar-18,Jun-18,,INC000007482861 - 52-58 WARATAH ST COWRA,Cowra,$640.70,,$640.70,$704.77,,$175.00,$175.00,$465.70,73%,Tony Gabriel,,,,,
NBN Assurance Sydney,"INC000007555389- 183 SUMMER ST, ORANGE",NSW,,Inv 13550,30/04/2018,27/03/2018,27/03/2018,,,,05/07/2018,Mar-18,Jul-18,,"INC000007555389- 183 SUMMER ST, ORANGE",Orange,$256.28,,$256.28,$281.91,,$50.00,$50.00,$206.28,80%,Tony Gabriel,,,,,
A417 Greenfield MDU,"MW22314-AYCA-4A5XPU-2BLK-11-29 Norfolk Street, Blacktown",Sydney,,Inv 13752,20/06/2018,30/05/2018,30/05/2018,14/06/2018,21/06/2018,13/06/2018,28/06/2018,May-18,Jun-18,,"MW22314-AYCA-4A5XPU-2BLK-11-29 Norfolk Street, Blacktown",Blacktown,$685.25,"$2,551.76","$3,237.01","$3,560.71",$306.40,,$306.40,"$2,930.61",91%,Ertan Cicek,Direct Award,27/04/2018,,11/07/2018,75d
